Date,Open,High,Low,Close,Adj Close,Volume
2019-05-06,1288.530029,1302.449951,1284.250000,1300.439941,1300.439941,3181520000
2019-05-07,1291.750000,1292.060059,1268.859985,1278.760010,1278.760010,3767100000
2019-05-08,1276.640015,1285.010010,1273.300049,1276.400024,1276.400024,3485790000
2019-05-09,1267.479980,1273.770020,1256.430054,1271.219971,1271.219971,3638820000
2019-05-10,1267.910034,1280.040039,1250.619995,1275.099976,1275.099976,3529600000
2019-05-13,1254.829956,1254.939941,1239.790039,1243.469971,1243.469971,3894030000
2019-05-14,1247.310059,1260.880005,1246.739990,1252.410034,1252.410034,3322720000
2019-05-15,1246.219971,1265.560059,1244.560059,1262.300049,1262.300049,3125950000
2019-05-16,1264.390015,1281.449951,1264.390015,1274.319946,1274.319946,3338060000
2019-05-17,1266.239990,1279.130005,1264.209961,1267.410034,1267.410034,3257950000
2019-05-20,1258.949951,1264.750000,1254.439941,1258.849976,1258.849976,3288870000
2019-05-21,1264.910034,1269.869995,1263.619995,1267.750000,1267.750000,3218700000
2019-05-22,1263.829956,1268.579956,1262.069946,1264.150024,1264.150024,3192510000
2019-05-23,1255.569946,1255.569946,1241.479980,1249.310059,1249.310059,3891980000
2019-05-24,1253.569946,1257.319946,1248.189941,1250.670044,1250.670044,2887390000
2019-05-28,1252.349976,1257.250000,1240.540039,1240.989990,1240.989990,4121410000
2019-05-29,1235.239990,1235.800049,1224.010010,1231.969971,1231.969971,3700050000
2019-05-30,1233.859985,1237.290039,1228.160034,1233.670044,1233.670044,3273790000
2019-05-31,1223.459961,1223.479980,1214.349976,1215.020020,1215.020020,3981020000
2019-06-03,1213.540039,1216.709961,1199.739990,1206.829956,1206.829956,3966700000
2019-06-04,1214.859985,1233.650024,1214.859985,1232.949951,1232.949951,3810430000
2019-06-05,1239.560059,1242.000000,1231.619995,1241.459961,1241.459961,3548830000
2019-06-06,1242.800049,1254.160034,1240.550049,1250.209961,1250.209961,3396410000
2019-06-07,1254.280029,1270.790039,1254.280029,1265.650024,1265.650024,3220250000
2019-06-10,1272.069946,1281.500000,1271.849976,1272.579956,1272.579956,3209210000
2019-06-11,1280.119995,1284.000000,1270.800049,1273.579956,1273.579956,3548420000
2019-06-12,1271.880005,1274.459961,1268.310059,1270.390015,1270.390015,3034130000
2019-06-13,1273.239990,1277.760010,1271.300049,1275.449951,1275.449951,3069810000
2019-06-14,1273.660034,1278.079956,1270.880005,1274.400024,1274.400024,2922330000
2019-06-17,1275.790039,1280.219971,1274.449951,1277.349976,1277.349976,2810140000
2019-06-18,1285.660034,1295.319946,1284.650024,1289.689941,1289.689941,3437620000
2019-06-19,1291.189941,1294.849976,1285.829956,1292.319946,1292.319946,3287890000
2019-06-20,1303.189941,1307.000000,1294.989990,1305.050049,1305.050049,3905940000
2019-06-21,1304.260010,1311.130005,1303.119995,1304.359985,1304.359985,5000120000
2019-06-24,1304.439941,1306.670044,1302.219971,1302.819946,1302.819946,3136250000
2019-06-25,1302.699951,1302.959961,1287.589966,1288.609985,1288.609985,3578050000
2019-06-26,1292.880005,1296.699951,1288.109985,1288.829956,1288.829956,3478130000
2019-06-27,1291.569946,1295.119995,1289.949951,1292.250000,1292.250000,3122920000
2019-06-28,1296.180054,1298.420044,1291.939941,1297.459961,1297.459961,5420700000
