Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
MS,"Morgan Stanley",38.4,-1.03,-2.61%,38.72,37.91,12806101,05/01/20
MSFT,"Microsoft Corp",174.57,-4.64,-2.59%,178.64,174.01,39370398,05/01/20
NEE,"Nextera Energy",227.05,-4.07,-1.76%,230.02,225,2292100,05/01/20
NFLX,"Netflix Inc",415.27,-4.58,-1.09%,427.97,411.73,8299801,05/01/20
NKE,"Nike Inc",85.54,-1.64,-1.88%,86.11,84.81,6151200,05/01/20
NVDA,"Nvidia Corp",282.78,-9.5,-3.25%,288.9,280.84,8552400,05/01/20
ORCL,"Oracle Corp",51.79,-1.18,-2.23%,52.44,51.31,8702400,05/01/20
OXY,"Occidental Petroleum Corp",15.24,-1.36,-8.19%,16.42,15.09,36902301,05/01/20
PEP,"Pepsico Inc",130.14,-2.15,-1.63%,132.23,129.52,4488100,05/01/20
PFE,"Pfizer Inc",37.64,-0.72,-1.88%,37.94,37.38,21517900,05/01/20
PG,"Procter & Gamble Company",116.82,-1.05,-0.89%,118.37,116.32,7366500,05/01/20
PM,"Philip Morris International Inc",73.28,-1.32,-1.77%,74.89,72.9,4782400,05/01/20
PYPL,"Paypal Holdings",120.61,-2.39,-1.94%,122.7,119.43,5613800,05/01/20
QCOM,"Qualcomm Inc",75.64,-3.03,-3.85%,77.59,74.68,9742100,05/01/20
RTX,"Raytheon Technologies Corp.",61.11,-3.7,-5.71%,63.61,60.22,13680300,05/01/20
SBUX,"Starbucks Corp",73.79,-2.94,-3.83%,75.88,73.21,11216700,05/01/20
SLB,"Schlumberger N.V.",15.75,-1.07,-6.36%,16.65,15.51,18752100,05/01/20
SO,"Southern Company",54.41,-2.32,-4.09%,56.32,54.09,4758600,05/01/20
SPG,"Simon Property Group",63.2,-3.57,-5.35%,64.65,60.59,6430000,05/01/20
T,"AT&T Inc",29.9,-0.57,-1.87%,30.79,29.75,36851301,05/01/20
TGT,"Target Corp",108.23,-1.51,-1.38%,109.48,106.1,4590500,05/01/20
TMO,"Thermo Fisher Scientific Inc",329.81,-4.87,-1.46%,334.44,326.55,1603200,05/01/20
TXN,"Texas Instruments",109.71,-6.36,-5.48%,113.25,109.45,5839800,05/01/20
UNH,"Unitedhealth Group Inc",284.51,-7.96,-2.72%,289,279.6,3526400,05/01/20
UNP,"Union Pacific Corp",156.64,-3.15,-1.97%,157.7,154.74,3088900,05/01/20
UPS,"United Parcel Service",91.9,-2.76,-2.92%,93.71,91.25,5415600,05/01/20
USB,"U.S. Bancorp",34.94,-1.56,-4.27%,35.82,34.65,6554200,05/01/20
V,"Visa Inc",175.57,-3.15,-1.76%,179.64,174.27,10109500,05/01/20
VZ,"Verizon Communications Inc",56.83,-0.62,-1.08%,57.79,56.53,13857400,05/01/20
WBA,"Walgreens Boots Alliance",41.66,-1.63,-3.77%,43.1,41.4,7066200,05/01/20
WFC,"Wells Fargo & Company",27.59,-1.46,-5.03%,28.53,27.28,35197500,05/01/20
WMT,"Wal-Mart Stores",122.92,1.37,+1.13%,123.69,120.78,10381300,05/01/20
XOM,"Exxon Mobil Corp",43.14,-3.33,-7.17%,46.39,43,35399301,05/01/20
"Downloaded from Barchart.com as of 05-03-2020 09:11pm CDT"
